Video ID,Video Title,Video Date,Video Views,Video Likes,Video Comment Count,Video URL,Spam Filtered
rEFS9EMJT_8,CTP îi descrie pe N.Dan și pe Simion după dezbaterea de la congresul BNS. Știri B1TV_7 mai 2025,2025-05-07T20:09:27Z,47262,1536,842,https://www.youtube.com/watch?v=rEFS9EMJT_8,0
RqC5xXxOzSU,"Simion, întrebat de Mihai Gâdea de ce a lipsit de la dezbaterea Antena 3 CNN",2025-05-13T20:07:22Z,80168,850,894,https://www.youtube.com/watch?v=RqC5xXxOzSU,0
RRlMx2EACwM,"După Nicușor Dan, și George Simion și-a prezentat diploma de bacalaureat",2025-05-13T11:25:05Z,18304,0,414,https://www.youtube.com/watch?v=RRlMx2EACwM,0
s27Tvr3-Rf0,GEORGE SIMION fuge de dezbateri + apartamentul închiriat | Codin reactioneaza,2025-05-15T09:20:23Z,76035,3003,203,https://www.youtube.com/watch?v=s27Tvr3-Rf0,0
SFbUYL5KFOM,"Nicușor Dan, președinte! Ion Cristoiu, primele reacții la ""DDD"": “Dacă ieșea Simion…”",2025-05-19T12:34:18Z,15330,330,131,https://www.youtube.com/watch?v=SFbUYL5KFOM,0
sTm7urixFiE,George Simion recunoaște victoria lui Nicușor Dan! Liderul AUR: „Am fost singuri împotriva tuturor!”,2025-05-18T22:37:07Z,88887,2934,2454,https://www.youtube.com/watch?v=sTm7urixFiE,0
SvCfhI82Ivo,"Studio politic. George Simion și Nicușor Dan, invitați de Digi24 la dezbatere",2025-05-07T13:31:40Z,23861,0,200,https://www.youtube.com/watch?v=SvCfhI82Ivo,0
TSnqPiSfi-g,"George Simion, despre cum îl va pune premier pe Călin Georgescu, apartenența la UE și Nicușor Dan",2025-05-06T15:59:15Z,316326,6681,5143,https://www.youtube.com/watch?v=TSnqPiSfi-g,0
ttmW5jdCA2s,Stirile Kanal D - Victorie! Primele ore ale Romaniei oneste! | Editie de seara,2025-05-19T18:03:57Z,11330,121,83,https://www.youtube.com/watch?v=ttmW5jdCA2s,0
u4PIkl1IzAU,Atacuri și contre la dezbaterea dintre George Simion și Nicușor Dan,2025-05-09T08:02:46Z,67231,0,751,https://www.youtube.com/watch?v=u4PIkl1IzAU,0
UbDBybRO0Ic,"De unde au venit primele felicitări pentru Nicușor Dan, după victoria de duminică",2025-05-19T08:29:44Z,69683,1343,576,https://www.youtube.com/watch?v=UbDBybRO0Ic,0
Uxq5zht_0Ao,Nicușor Dan a depus jurământul. „Voi fi un președinte deschis la vocea societății”,2025-05-26T09:54:04Z,108927,0,1502,https://www.youtube.com/watch?v=Uxq5zht_0Ao,0
v4vUjuMz0GY,INTERVIU. „Am scăpat de «planul Trump»”,2025-05-19T13:45:34Z,172848,6548,825,https://www.youtube.com/watch?v=v4vUjuMz0GY,0
vnqWWljsuKc,Băsescu explică de ce Nicușor Dan are încă șanse să îl învingă pe Simion. B1TV_5 mai 2025,2025-05-05T19:23:02Z,14320,262,195,https://www.youtube.com/watch?v=vnqWWljsuKc,0
vorLtU23rK0,🔴 LIVE: Alegeri Prezidențiale 2025 – Turul 2 | Ora 19,2025-05-18T16:26:44Z,81904,0,170,https://www.youtube.com/watch?v=vorLtU23rK0,0
VZN4mdvF_OE,Imagini exclusive. Cum şi-a petrecut Nicuşor Dan zilele de sâmbătă şi duminică,2025-05-19T18:07:27Z,62294,1635,257,https://www.youtube.com/watch?v=VZN4mdvF_OE,0
w_hMgplBT9Y,Anamaria Gavrilă a pregătit strategia dacă Simion este înfrânt. A trimis pe WhatsApp instructajul,2025-05-16T18:46:29Z,155664,2727,1560,https://www.youtube.com/watch?v=w_hMgplBT9Y,0
W_tngdOxNA8,Ne duce Nicuşor Dan în război? Cum a răspuns noul preşedinte al României,2025-05-19T18:27:29Z,65903,1044,1283,https://www.youtube.com/watch?v=W_tngdOxNA8,0
w2JQ4ei3SqA,Fața nevăzută a noului președinte al României: O zi alături de Nicușor Dan și familia sa,2025-05-19T20:12:55Z,57168,856,204,https://www.youtube.com/watch?v=w2JQ4ei3SqA,0
WoyjL13xEao,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,2025-05-20T10:56:36Z,729094,32762,6311,https://www.youtube.com/watch?v=WoyjL13xEao,0
x7hb0mh2Qac,Simion a plecat din țară în această dimineață,2025-05-19T09:07:38Z,53246,660,648,https://www.youtube.com/watch?v=x7hb0mh2Qac,0
xEfVp7Fa0j8,"Theodor Paleologu despre „efectul Simion”, victoria lui Nicușor Dan și jocurile BOR în politică",2025-05-26T06:50:26Z,105177,3950,332,https://www.youtube.com/watch?v=xEfVp7Fa0j8,0
XKsToC5ELoc,PORTRET DE CANDIDAT: Nicușor Dan,2025-04-24T08:45:56Z,1581530,41490,6586,https://www.youtube.com/watch?v=XKsToC5ELoc,0
XKsToC5ELoc,PORTRET DE CANDIDAT: Nicușor Dan,2025-04-24T08:45:56Z,1581530,41490,6586,https://www.youtube.com/watch?v=XKsToC5ELoc,0
xsWZP8MAefw,16 MAI 2025. Dilema din turul doi. Înainte? Înapoi?,2025-05-16T16:14:40Z,180878,6345,1078,https://www.youtube.com/watch?v=xsWZP8MAefw,0
ylbE99s2irs,CE SE ÎNTÂMPLĂ DUPĂ VICTORIA LUI NICUȘOR DAN,2025-05-06T10:20:09Z,61790,1603,177,https://www.youtube.com/watch?v=ylbE99s2irs,0
YUzxDHZdRJQ,"8 MAI 2025. Simion-Nicușor, prima dezbatere televizată",2025-05-08T16:54:36Z,127956,5040,721,https://www.youtube.com/watch?v=YUzxDHZdRJQ,0
Z47RqrSD4iI,"Nicușor Dan, viralizat după ce ""a apărut"" pe fumul alb care a anunțat alegerea Papei la Vatican",2025-05-20T06:25:58Z,6990,145,41,https://www.youtube.com/watch?v=Z47RqrSD4iI,0
ZLr5NkH2aJc,13 MAI 2025. Noi fapte din trecutul agitat al lui George Simion,2025-05-13T17:17:52Z,267380,9910,2850,https://www.youtube.com/watch?v=ZLr5NkH2aJc,0
-b0yl_knj9s,"România TV, acasă la Nicușor Dan. Primarul Capitalei nu se dă în lături de la treburile casnice",2025-05-12T07:25:04Z,109913,784,1755,https://www.youtube.com/watch?v=-b0yl_knj9s,0
